Date,UUP,SPY,TLT,SHY,UUP_CHOICE,SPY_CHOICE,TLT_CHOICE,SHY_CHOICE,DateCopy,18W-FRI_FREQ,UUP_LEN,UUP_LEX,UUP_NUL,UUP_R,SPY_LEN,SPY_LEX,SPY_NUL,SPY_R,TLT_LEN,TLT_LEX,TLT_NUL,TLT_R,SHY_LEN,SHY_LEX,SHY_NUL,SHY_R,ALL_R,DETREND_ALL_R,I,DETREND_I
2012-12-31,0.001377362372936064,0.016996556473648505,-0.0172735990827807,0.0,0.0,0.0,0.0,1.0,2012-12-31,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.0,0.0,-0.000612282811174647,0.9998928569804763,0.9894139799134213
2013-01-02,0.00045848928508918085,0.025629942424467922,-0.013368200679933828,-0.00023664933017564227,0.0,0.0,0.0,1.0,2013-01-02,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.00023664933017564227,-0.00023664933017564227,-0.003946179132055305,0.9996562330056245,0.9855095751129231
2013-01-03,0.007791109875524782,-0.00225941960997611,-0.013549896868153999,0.0,0.0,0.0,0.0,1.0,2013-01-03,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,1.0,0.0,0.0,-0.0006150851673442093,0.9996562330056245,0.9849034027909955
2013-01-04,0.0,0.004391592730690785,0.003900454154048383,0.00011874817082335731,0.0,0.0,0.0,1.0,2013-01-04,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,0.00011874817082335731,0.00011874817082335731,0.0010645254606609367,0.999774940354746,0.9859518575395582
2013-01-07,-0.003183424772706389,-0.0027325482330223805,0.0004219743812232668,0.0,0.0,0.0,0.0,1.0,2013-01-07,left_only,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.0,0.0,-0.0006148092498582391,0.999774940354746,0.9853456852176279
2013-01-08,0.0013687467026883837,-0.00287735194510097,0.006585671638526414,0.00011794316997826293,0.0,0.0,0.0,1.0,2013-01-08,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.00011794316997826293,0.00011794316997826293,0.0010528620581675696,0.9998928569804763,0.9863831183037727
2013-01-09,0.003188954702767477,0.0025416257404815568,-0.0009231295396830985,0.0003557648033842842,0.0,0.0,0.0,1.0,2013-01-09,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.0003557648033842842,0.0003557648033842842,0.004412279546941011,1.0002485836661452,0.9907353163621123
2013-01-10,-0.009990840114275645,0.007949774042619762,-0.0027703243280005063,-0.0001179861367277546,0.0,0.0,0.0,1.0,2013-01-10,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.0001179861367277546,-0.0001179861367277546,-0.002272206714174163,1.000130568199991,0.9884841609243049
2013-01-11,-0.002752288647740797,-6.776533955910047e-05,0.008922950891582904,-0.00011898833430068478,0.0,0.0,0.0,1.0,2013-01-11,left_only,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,-0.00011898833430068478,-0.00011898833430068478,-0.0022913189764335318,1.0000115643295977,0.9862192284084751
2013-01-14,-0.0013800793267039202,-0.000679760525419848,-0.0027527254611698915,0.0,0.0,0.0,0.0,1.0,2013-01-14,left_only,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,1.0,0.0,0.0,-0.0006146425708090097,1.0000115643295977,0.9856130560865448
2013-01-15,0.002763790232180874,0.0006802229141054106,0.004601537388613686,0.00011900249420926379,0.0,0.0,0.0,1.0,2013-01-15,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,0.00011900249420926379,0.00011900249420926379,0.0010679524438843568,1.000130568199991,0.9866656439585167
2013-01-16,0.0009187546528317547,-0.0001359770893908374,0.002082378718529121,0.0,0.0,0.0,0.0,1.0,2013-01-16,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.0,0.0,-0.0006143644766004597,1.000130568199991,0.9860594716365865
2013-01-17,-0.0018358226350754236,0.006460133710456173,-0.009973811232935392,-0.00011898833430068478,0.0,0.0,0.0,1.0,2013-01-17,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.00011898833430068478,-0.00011898833430068478,-0.0022969532578706042,1.0000115643295977,0.9837945391207567
2013-01-18,0.004597723815400689,0.0022296792447233926,0.007723795702235581,0.0,0.0,0.0,0.0,1.0,2013-01-18,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,0.0,0.0,-0.0006161574371738032,1.0000115643295977,0.9831883667988264
